x,y,CO2flux,T
428133,4520240,13.05,27.2
428093,4520250,34.7,27.6
428041,4520270,54.63,28.1
428209,4520350,42.77,38.8
428241,4520350,32.8,30.1
428285,4520340,15.13,30
428325,4520330,8.2,26.1
428321,4520290,21.99,30.6
428249,4520250,94.37,35.9
428221,4520280,13,27.9
428301,4520210,37.38,34.3
428345,4520240,4.98,25.3
427369,4520130,24.83,27.5
427357,4520100,280.37,24.4
427389,4520060,610.15,35.2
427385,4520030,54.39,24.4
427365,4519990,50.35,24.4
427321,4520090,896.31,30.8
427281,4520110,219.01,34.6
427249,4520150,27.51,25.6
427253,4520090,576.85,35
427313,4520030,65.88,26.2
427321,4520000,22.63,25.3
427209,4520110,7.91,26
427593,4520080,964.01,38
427561,4520090,22625,94.9
427537,4520100,2992.47,57.8
427561,4520150,2696.9,57.3
427461,4520070,365.8,32.2
427497,4520040,974.87,38.6
427549,4520030,4280.65,85.6
427477,4520000,329.06,35.9
427437,4520030,209.24,25.8
427421,4519990,43.01,24.5
427513,4520160,2186.48,50.9
427465,4520100,12183.83,82
427417,4520090,4801.39,42.9
427429,4520140,1284.38,38.8
427497,4520120,15506.27,90.5
427573,4519990,2483.14,34.7
427689,4520170,13307.12,92
427657,4520140,1040.93,39.2
427693,4520120,3148.13,49.9
427725,4520130,14645.25,93.1
427637,4520110,30987.2,95
427609,4520160,3166.23,44.6
427625,4520070,2923.15,41.5
427673,4520070,3158.99,35
427717,4520070,24435,91
427733,4520020,9560.42,71.8
427769,4520000,7212.85,95.1
427777,4520050,4993.79,67.8
427773,4520080,7855.4,93.6
427789,4520130,22806,93.5
427949,4519980,173.89,29.9
427905,4519980,453.41,30.8
427853,4520010,712.96,31.6
427821,4520010,4432.69,57.3
427845,4520050,135.99,31.3
427905,4520030,103.79,32
427845,4520110,37.01,30.7
427829,4520160,31.77,30.1
427993,4520090,1396.96,55.5
427981,4520030,1630.45,50.1
427889,4520070,41.99,28
427869,4520160,22.44,27.5
427933,4520070,10.81,29.7
427937,4520110,39.51,29.1
428013,4519990,1154.78,51.8
428025,4520040,5.78,28.8
428037,4520080,9.53,35.6
428049,4520140,24.74,36.6
428153,4520150,30.88,29
428013,4520140,29.29,29.9
428165,4519990,3.93,29
428101,4519970,77.18,29.5
428069,4520010,13.3,30
428073,4520090,28.02,29.2
428081,4520140,37.11,30.1
428181,4520050,13.47,30.3
428253,4520160,21.99,32.6
428285,4520010,15.57,30.1
428325,4520020,6.28,31.2
428369,4520110,7.98,30.6
428393,4520050,5.36,30.1
428345,4520100,12.22,31
428365,4520150,9.76,30.5
428329,4520160,24.49,29.6
428281,4520110,6.9,30
428229,4520110,8.27,29.7
427317,4519900,78.54,28
427369,4519870,2594.27,33
427401,4519860,1297.23,31
427401,4519910,5659.33,87.5
427365,4519810,346.8,31
427293,4519890,8.24,26
427293,4519780,12.43,25.9
427429,4519870,679.11,36.5
427477,4519870,96.84,28
427477,4519920,166.16,35.7
427561,4519940,126.16,36
427549,4519970,962.2,37.5
427417,4519950,911.34,32.3
427573,4519770,48.33,26.5
427573,4519810,20.82,26.7
427565,4519850,143.9,25.9
427529,4519840,58.28,27
427565,4519880,136.29,27.9
427473,4519830,19.01,26.2
427441,4519810,13.58,26
427417,4519800,15.77,26.1
427609,4519850,31.31,27.5
427609,4519810,15.44,27.3
427633,4519790,7.76,28
427685,4519810,6.75,27
427665,4519840,7.58,27.8
427657,4519870,13.97,27.2
427685,4519920,21.97,28.3
427653,4519940,64.87,28.5
427613,4519920,27.64,28.1
427709,4519910,22.93,28
427729,4519890,6.12,28.9
427717,4519850,16514.44,89.7
427753,4519830,2041.68,90
427789,4519840,3574.75,72
427745,4519930,134.99,40.5
427761,4519940,1182.84,39.7
427917,4519890,20.4,39.4
427977,4519920,621.92,37.7
427893,4519840,22.88,32.5
427873,4519810,7.7,27.4
427885,4519870,3.91,29.8
427913,4519920,4.51,31.5
427853,4519960,12295.33,82.5
427893,4519920,3094.38,44.1
427817,4519930,721.65,40.3
427857,4519910,6742.25,52.7
427953,4519870,33.1,29
427937,4519840,23.73,28.9
427813,4519890,20.4,29
428005,4519850,105.6,28.8
428017,4519960,602.01,27.5
428093,4519920,2901.43,58.5
428081,4519900,29810.7,84
428069,4519930,242.72,33.4
428141,4519920,15361.47,65.1
428089,4519860,1522.57,44.1
428125,4519880,1806.56,40.7
428105,4519830,132.85,37.8
428145,4519810,28.06,36.9
428061,4519780,202.36,38.3
428197,4519880,6072.55,80.3
428157,4519930,1341.57,39.4
428185,4519910,2686.22,65
428193,4519850,1746.65,45.2
428177,4519790,41.81,29.7
428213,4519900,1867.02,37.5
428277,4519880,79.24,31.7
428249,4519890,358.02,37.7
428261,4519870,25.88,31
428353,4519870,13.21,29.6
428397,4519850,8.56,29.2
428269,4519770,29.67,30
427361,4519750,21.9,26
427361,4519720,31.68,24.9
427297,4519760,15.11,25
427497,4519710,2323.5,36.1
427461,4519680,2341.6,26
427529,4519680,2359.7,26.1
427601,4519680,2377.8,25.3
427621,4519680,12.18,29.5
427673,4519790,31.68,28.4
427729,4519760,63.6,29
427857,4519760,5.45,26.3
427873,4519730,21.97,27
427897,4519700,15.24,27.1
427901,4519660,11.11,28.7
427981,4519710,7.08,29.5
427993,4519650,11.42,28.5
427945,4519670,13.38,28.3
427925,4519710,25.61,29
428111,4519760,20.76,29
428139,4519720,7.69,31.2
428107,4519690,17.23,29.5
428089,4519740,11.48,29.2
428011,4519760,19.46,28.7
428037,4519710,14.19,28
428045,4519680,9.5,28.6
428323,4519760,15.26,28.9
428371,4519760,12.16,29
428377,4519720,17,29.2
428335,4519640,15.91,28.7
428227,4519650,9.81,29
428199,4519650,7.58,28.5
428199,4519680,9.5,28
428355,4519690,21.81,28.3
