x,y,FCO2
730005,4719790,14.217
731080,4722086,14.239
729479,4719128,14.272
729805,4719226,14.314
730906,4721559,14.314
729971,4721109,14.377
731045,4722093,14.377
731228,4721851,14.469
731680,4719458,14.609
731100,4721350,14.663
728707,4719606,14.689
731425,4722388,14.734
731920,4719938,14.845
729063,4718630,14.883
731892,4720242,14.898
729198,4719860,14.936
728905,4718725,14.958
729016,4719843,14.974
731637,4721152,14.995
731525,4722150,14.999
729750,4718843,15.086
728600,4718969,15.108
729107,4719150,15.194
729749,4718976,15.226
731102,4719959,15.294
729913,4719005,15.317
731362,4720184,15.343
730095,4720318,15.355
729357,4718933,15.454
731577,4719228,15.473
730733,4719546,15.475
729917,4719943,15.542
731703,4720483,15.559
729162,4718906,15.566
731130,4720716,15.566
730777,4719024,15.575
730429,4718410,15.703
730271,4721037,15.719
731341,4722294,15.864
729057,4718951,15.87
729639,4720245,15.892
730000,4718443,15.934
730485,4719044,15.941
729164,4719117,16.025
729505,4719412,16.036
730051,4720262,16.111
730052,4719363,16.17
729869,4718489,16.186
731733,4719664,16.198
730437,4718802,16.213
729233,4718452,16.251
731041,4720339,16.256
730069,4720101,16.261
731169,4718755,16.331
731095,4722214,16.385
731877,4719832,16.406
730418,4718473,16.414
730999,4720661,16.428
729668,4720465,16.448
730020,4720583,16.587
731444,4722034,16.622
731053,4720185,16.636
731334,4719218,16.664
730299,4719984,16.685
729692,4719488,16.766
730501,4719527,16.768
731510,4719157,16.792
730119,4719432,16.825
730946,4720589,16.975
729438,4718969,17.032
729023,4719079,17.05
729648,4720688,17.088
729835,4720436,17.116
730831,4721481,17.157
731065,4721441,17.173
729013,4718646,17.265
731379,4722774,17.307
731731,4720824,17.331
728843,4718275,17.42
729907,4720374,17.554
731423,4721799,17.568
730449,4719189,17.575
728809,4718919,17.644
730894,4722116,17.667
728770,4718228,17.728
728772,4719366,17.78
729949,4718692,17.811
731497,4721182,17.825
732117,4719928,17.892
731744,4719407,17.941
729920,4720259,18.032
729022,4719092,18.061
731727,4719515,18.134
729348,4720041,18.144
729614,4719462,18.182
731601,4720419,18.353
730936,4722104,18.359
731441,4720955,18.43
729696,4720330,18.437
731053,4720547,18.466
731420,4721313,18.492
731182,4721470,18.499
731336,4721677,18.499
731200,4722218,18.614
730685,4721023,18.687
731003,4722501,18.704
729010,4719690,18.847
731768,4720914,18.882
730727,4719857,18.93
731035,4719472,18.972
729996,4720803,18.979
731097,4721940,19.089
728883,4718983,19.153
729924,4720486,19.16
730150,4719495,19.175
731396,4720440,19.208
731600,4722288,19.239
731300,4722211,19.245
729739,4720259,19.375
731242,4721871,19.443
730042,4718609,19.518
731509,4720684,19.598
729651,4719611,19.625
731255,4722469,19.651
729075,4718354,19.749
730674,4720174,19.84
731682,4720590,19.848
731343,4721925,19.963
732078,4720409,19.966
730708,4721528,20.017
730989,4720112,20.022
730278,4720162,20.092
731130,4719710,20.126
729862,4720832,20.203
730322,4720971,20.312
729690,4719065,20.355
731080,4722086,20.446
730933,4720247,20.521
730715,4721616,20.521
731058,4721768,20.564
731596,4722226,20.592
731144,4720860,20.639
731668,4719321,20.682
731180,4721671,20.736
729952,4720576,20.745
729013,4719524,20.752
730920,4720044,20.759
729681,4720350,20.78
729944,4720047,20.881
729489,4720404,20.891
731034,4720850,20.913
730327,4719840,20.96
730635,4718630,20.995
731149,4719845,21.016
731444,4722808,21.048
731059,4718700,21.101
730065,4720049,21.101
731293,4721721,21.224
729675,4720399,21.231
731237,4721552,21.54
728588,4719143,21.659
730058,4720865,21.669
731583,4721679,21.704
731001,4722207,21.724
731669,4719588,21.753
731144,4720263,21.76
731613,4722925,21.783
731791,4721123,21.788
729677,4718929,21.793
729996,4720708,21.795
730643,4720093,21.814
729755,4718445,21.841
728945,4718934,21.846
730514,4720640,21.921
731213,4721964,21.954
731168,4722220,21.954
730926,4719884,22.031
729357,4718490,22.056
729231,4718976,22.1
730348,4718936,22.177
730294,4719972,22.226
730255,4719452,22.239
729460,4719636,22.344
731464,4721709,22.344
731248,4721501,22.377
729575,4719712,22.431
730174,4721182,22.517
728981,4718190,22.619
730560,4720179,22.629
729307,4719029,22.664
730199,4719456,22.698
729825,4719046,22.715
731471,4720748,22.719
730974,4719960,22.747
729326,4719381,22.796
729838,4719859,22.796
731683,4720289,22.893
730537,4718708,22.928
731680,4722525,22.949
730793,4720339,22.962
729434,4720287,23.021
731616,4720789,23.032
728858,4719550,23.043
730422,4718912,23.053
731833,4722053,23.059
730174,4720506,23.112
731648,4720674,23.157
730609,4719459,23.23
729641,4720612,23.273
731255,4720742,23.275
731047,4721266,23.317
731299,4719533,23.359
729073,4718883,23.436
731271,4722325,23.481
730703,4718525,23.504
729846,4719413,23.574
730796,4719928,23.63
731205,4720815,23.665
729388,4720077,23.724
729346,4718413,23.976
728824,4719638,23.982
729224,4719177,23.998
731002,4722409,24.022
729560,4720195,24.04
729778,4720717,24.061
729435,4719726,24.075
730847,4720077,24.103
730655,4720780,24.105
730420,4719801,24.153
730229,4721253,24.223
730599,4720979,24.282
730114,4721084,24.374
729992,4719188,24.454
730344,4721162,24.624
730385,4721282,24.679
730721,4720065,24.684
731088,4720940,24.883
730846,4721728,24.888
731053,4721664,25.081
731157,4721304,25.097
729989,4720414,25.208
730932,4721644,25.258
729461,4720157,25.591
728999,4718920,25.645
731050,4722550,25.825
729811,4721012,25.827
729496,4718851,25.961
729942,4720742,25.98
728954,4718265,26.188
730999,4720426,26.197
731260,4722251,26.197
729704,4719539,26.219
730240,4719551,26.321
730779,4721673,26.321
730487,4719874,26.326
731877,4719832,26.383
731499,4722209,26.474
731211,4722051,26.503
730786,4720105,26.578
731230,4720321,26.661
728714,4719067,26.703
731286,4720538,26.793
729494,4720077,26.809
731288,4722163,26.844
730900,4721317,26.874
730130,4720993,27.113
730698,4720700,27.163
730766,4721577,27.231
731268,4721429,27.329
729898,4719494,27.349
731522,4722274,27.398
731587,4719607,27.433
730626,4720006,27.592
730474,4720058,27.599
729858,4720498,27.78
730151,4721306,27.818
729970,4719159,27.952
730761,4720003,27.968
731228,4720213,28.01
730297,4720322,28.011
731490,4721998,28.037
731026,4721184,28.183
729231,4719406,28.302
729552,4720281,28.302
730104,4719833,28.354
731283,4722252,28.354
729896,4721044,28.378
730331,4719500,28.468
728590,4718326,28.477
730933,4721725,28.708
728715,4719295,28.783
728958,4718389,28.848
731129,4721794,28.853
730037,4720973,28.939
730074,4721212,28.955
730862,4718773,29.184
728870,4718334,29.25
729877,4719268,29.351
730362,4720518,29.368
731105,4722420,29.386
729479,4719128,29.453
730611,4718486,29.475
730406,4720947,29.508
731087,4722010,29.529
731160,4721124,29.699
729656,4720783,29.733
729392,4719078,29.831
731123,4720404,29.969
729845,4719686,30.065
729653,4720258,30.119
729088,4719580,30.135
729733,4719281,30.186
731028,4721536,30.227
730963,4721493,30.241
731873,4720994,30.255
730212,4720843,30.269
729400,4718816,30.393
731541,4721916,30.471
731293,4721722,30.559
730149,4719338,30.589
729111,4719021,30.661
730625,4720347,30.742
730281,4720420,30.806
730981,4721022,30.999
731508,4720908,31.062
729732,4720607,31.249
729767,4720932,31.273
730792,4718546,31.321
729446,4719352,31.364
731684,4721988,31.437
731269,4722402,31.459
731265,4721242,31.513
729391,4720216,31.568
729319,4718765,31.616
729878,4720116,31.659
729944,4720506,31.666
730754,4720912,31.696
729269,4718708,31.734
731693,4720868,31.84
730807,4718616,31.979
730824,4721575,32.174
730653,4720296,32.292
731100,4721097,32.375
730906,4721606,32.375
728850,4719170,32.431
729372,4719658,32.535
730340,4719551,32.633
730401,4718603,32.688
731602,4720904,32.702
731595,4719610,32.737
731636,4720958,32.869
731390,4720922,32.883
730333,4719694,33.107
731101,4722511,33.126
730498,4720560,33.242
731505,4720795,33.265
731542,4720159,33.356
731931,4720038,33.509
729985,4719316,33.553
728965,4718793,33.596
730846,4720420,33.613
731420,4720560,33.724
730592,4720757,33.816
730720,4719659,33.849
731268,4722428,33.938
731511,4720591,33.94
731081,4721369,33.974
730472,4718661,34.176
731233,4718828,34.304
729369,4719302,34.411
730276,4719627,34.443
729647,4718394,34.475
731451,4720851,34.635
729951,4721027,34.695
729553,4718340,34.803
729217,4718589,34.85
729462,4720028,35.28
728892,4718851,35.318
730293,4721282,35.692
731500,4721801,35.845
729729,4720528,35.997
730955,4722160,36.064
729514,4719635,36.289
729780,4720121,36.326
729403,4719807,36.836
730553,4720000,37.012
730651,4719906,37.068
730166,4719396,37.082
731230,4721241,37.145
730205,4721091,37.528
730562,4718578,37.749
731763,4720352,38.076
730893,4720493,38.243
730576,4720863,38.429
729444,4718689,38.462
729040,4718262,38.73
729796,4720327,38.938
730250,4719708,38.959
730918,4720348,39.068
729158,4718822,39.369
731579,4722027,39.752
729710,4720839,39.819
731838,4720886,39.925
729185,4718505,39.937
730931,4721461,40.001
730162,4719982,40.023
728924,4719466,40.264
731792,4721124,40.342
728916,4719602,40.683
729916,4720670,40.753
730448,4720246,41.021
729243,4719557,41.086
729900,4720917,41.385
729940,4718570,41.407
730776,4720589,41.615
730942,4721365,41.648
730381,4721345,41.815
731992,4720325,42.129
732078,4720409,42.129
730193,4719260,42.616
728976,4718558,42.713
729247,4719318,42.802
729986,4720863,42.901
730415,4720591,42.99
729349,4718631,43.065
730475,4720889,43.092
729535,4720109,43.13
729868,4720210,43.135
730632,4720576,43.247
730295,4719381,43.276
729609,4718993,43.436
730603,4720908,43.436
730396,4719295,43.832
731101,4720782,43.896
729091,4719135,44.131
730066,4720775,44.305
731184,4721014,44.43
731268,4721031,44.521
728911,4719215,44.708
730390,4719953,44.771
731426,4720647,45.049
730115,4721133,45.125
731568,4720233,45.23
729677,4718245,45.459
731921,4720928,45.772
731107,4721484,45.892
730603,4720679,45.973
731214,4721166,46.203
