x,y,CO2flux
515345,4048893,31.19
515362,4048903,17.47
515383,4048894,5.87
515369,4048876,20.93
515350,4048869,24.89
515322,4048864,9.41
515295,4048857,2.05
515277,4048854,2.4
515605,4048841,12.73
515600,4048875,16.34
515607,4048907,12.38
515613,4048933,22.98
515625,4048960,16.97
515639,4048988,40.38
515657,4049012,15.63
515676,4049036,14.43
515684,4049066,6.15
515664,4049091,3.18
515651,4049110,12.45
515634,4049134,8.98
515623,4049165,6.15
515601,4049191,6.65
515589,4049217,11.53
515568,4049244,7.78
515553,4049276,7.85
515529,4049304,5.37
514656,4047987,0.57
514640,4048032,0.5
514611,4048061,1.34
514580,4048099,0.57
514560,4048141,0.07
514555,4048182,0.21
514541,4048221,0.35
514539,4048263,0.42
514548,4048311,0.64
515553,4047959,138.12
515571,4047910,40.1
515597,4047925,11.81
515604,4047964,23.9
515621,4048009,71.22
515660,4048017,20.01
515687,4048048,1.91
515709,4047999,2.33
515734,4047879,0.07
515668,4048129,28.36
515711,4048151,94.91
515749,4048163,9.83
515786,4048209,4.6
515812,4048258,6.86
515852,4048314,1.7
515867,4048373,14.64
515819,4048359,11.74
515782,4048329,14
515914,4048341,0.35
515946,4048402,8.49
515984,4048447,2.05
515966,4048472,5.37
515933,4048448,3.54
515907,4048403,60.18
515952,4048503,95.47
516001,4048490,6.01
515982,4048524,213.36
515989,4048600,28.29
515995,4048643,11.46
516013,4048667,2.55
516038,4048637,1.41
514940,4048037,212.94
514955,4048062,83.59
514962,4048081,622.83
514974,4048101,12.31
514990,4048121,109.55
515004,4048144,427.22
515026,4048162,103.96
515048,4048184,241.37
515062,4048203,528.14
515085,4048195,1352.87
515069,4048178,56.08
515053,4048162,10.89
515038,4048142,26.24
515023,4048120,48.66
515007,4048099,485.92
514994,4048080,502.96
514978,4048059,52.83
514963,4048039,43.07
514952,4048031,1760.93
514968,4048012,221.57
514982,4048034,9.76
514997,4048052,269.02
515011,4048070,72.42
515027,4048088,78.78
515042,4048109,68.03
515058,4048130,15.84
515075,4048148,38.12
515090,4048165,73.62
515109,4048182,262.37
515134,4048174,166.33
515115,4048159,61.1
515096,4048140,14.5
515077,4048123,28.5
515060,4048107,21.71
515043,4048092,47.17
515025,4048072,103.11
515009,4048045,146.74
515000,4048025,135.71
514982,4047988,1077.14
514983,4047988,191.37
515003,4047980,246.03
515014,4048001,132.03
515022,4048025,16.55
515034,4048045,25.18
515043,4048065,23.48
515052,4048088,25.25
515083,4048110,36.7
515104,4048123,45.4
515130,4048137,110.04
515154,4048148,248.23
515157,4048122,175.53
515132,4048111,986.54
515109,4048099,65.35
515090,4048087,49.57
515073,4048072,18.25
515060,4048051,4.6
515045,4048033,604.23
515034,4048009,184.01
515026,4047985,204.81
515018,4047968,698.01
515040,4047968,546.95
515050,4047988,214.92
515063,4048008,116.05
515074,4048029,562.37
515085,4048052,53.82
515103,4048066,51.7
515126,4048079,220.65
515144,4048092,154.17
515158,4048099,498.65
515144,4048076,449.78
515123,4048060,1691.62
515108,4048048,1311.86
515088,4048031,1235.48
515073,4048016,310.39
515078,4047995,254.45
515096,4048010,105.16
515113,4048026,1031.1
515131,4048041,335.92
515144,4048058,3724.82
515159,4048075,98.51
515643,4048689,13.58
515700,4048670,7.35
515741,4048645,5.87
515789,4048623,3.39
515989,4048771,1.06
515981,4048807,4.81
515985,4048855,2.05
516020,4048867,1.2
516019,4048819,0.92
516024,4048775,0.42
516044,4048903,1.77
516028,4048940,2.33
516035,4048976,2.76
516056,4049019,1.2
516014,4049016,2.05
516000,4048980,1.91
516003,4048942,4.31
516014,4048901,3.18
515982,4048904,1.49
515972,4048938,0.85
515961,4048995,12.38
515981,4049029,0.42
516000,4049061,0.78
