x,y,CO2flux
515019,4049089,59.76
514994,4049046,21.92
515033,4049027,65.2
515061,4049058,100.07
515089,4049094,18.46
515139,4049080,35.78
515136,4049022,29.63
515108,4048995,16.34
515078,4049001,32.04
515150,4048969,66.76
515173,4049007,39.89
515192,4049044,8.49
515230,4049028,3.32
515218,4048989,5.59
515200,4048947,16.05
515256,4048968,6.86
515266,4049011,140.1
515309,4048994,6.86
515294,4048954,7.92
515142,4048709,360.6
515169,4048736,70.93
515190,4048771,65.84
515192,4048812,3.11
515175,4048852,131.47
515149,4048890,4.1
515118,4048913,100.21
515084,4048921,43.35
515005,4048947,79.42
514977,4048937,202.54
514928,4048951,1.63
514899,4048969,26.94
514859,4048986,11.74
514834,4049032,19.31
514804,4049058,7.21
514770,4049071,9.34
514750,4049037,9.62
514729,4049002,5.45
514758,4048974,5.3
514807,4048949,15.91
514839,4048940,10.54
514878,4048926,4.38
514916,4048917,5.23
514954,4048904,44.98
515011,4048885,3.89
515043,4048886,140.8
515068,4048871,213.29
515110,4048859,258.98
515130,4048818,21.15
515129,4048773,9.12
515104,4048738,10.54
515083,4048695,104.24
515062,4048654,224.96
515027,4048651,110.39
514985,4048659,14.57
514963,4048687,37.41
514980,4048724,7.85
514955,4048750,13.51
514960,4048772,105.16
514982,4048765,932.66
515017,4048737,131.33
515042,4048722,275.81
515069,4048756,84.02
515083,4048776,12.38
515100,4048805,5.09
515091,4048847,156.08
515059,4048849,26.66
515028,4048847,236.28
514993,4048841,135.5
514973,4048823,197.66
514959,4048811,77.44
514953,4048858,45.19
514986,4048886,83.31
514916,4048870,20.58
514878,4048884,2.97
514841,4048901,24.19
514808,4048919,33.52
515007,4048801,125.88
515024,4048781,2389.63
515023,4048780,1521.19
515053,4048799,437.33
515043,4048833,243.06
515068,4048825,265.34
515060,4048923,56.01
515339,4048938,17.33
515378,4048911,5.73
515410,4048887,5.3
515444,4048873,4.31
515483,4048844,6.29
515528,4048818,3.75
515572,4048799,9.19
515622,4048780,16.83
515667,4048760,19.52
515707,4048734,21
515744,4048722,17.4
515778,4048705,15.56
515823,4048693,5.59
515858,4048675,3.61
515892,4048650,7.5
515926,4048615,46.89
515953,4048583,19.87
515948,4048544,216.62
515971,4048554,150.28
515990,4048562,2.97
515921,4048555,10.54
515917,4048528,13.22
515954,4048640,17.11
515915,4048675,2.55
515875,4048708,5.16
515831,4048730,10.25
515788,4048738,17.4
515753,4048750,20.65
515713,4048767,18.32
515674,4048787,16.19
515632,4048814,13.79
515603,4048827,14.07
515593,4048864,11.67
515535,4048859,6.01
515498,4048873,5.8
515457,4048894,2.76
515388,4048947,1.77
515363,4048978,3.25
515333,4048997,1.49
515084,4049148,0.42
515159,4049103,1.84
