X,Y,X,Y
515045.859358633,4049163.23119777,27.168196496218,36.5878251899151
514917.911872192,4049230.08356546,27.1667674832517,36.5884298748477
514781.406103305,4049224.51253482,27.165241382634,36.5883817771493
514697.188879664,4048990.52924791,27.1642954509012,36.5862737146746
514769.503650654,4048951.53203343,27.1651030841996,36.5859210370139
514735.565366501,4048767.68802228,27.1647201800433,36.5842642039574
514481.610167519,4048597.77158774,27.1618781769255,36.5827362918373
514481.067030827,4048402.78551532,27.1618684358912,36.5809784950069
514671.956300774,4047932.03342618,27.1639932006731,36.5767317331562
514479.344511604,4047784.40111421,27.161837546821,36.5754037644681
514706.592903531,4047366.57381616,27.1643695397538,36.5716335592941
514820.791272569,4047363.78830084,27.1656458295144,36.5716066811842
515191.901056013,4047592.2005571,27.1697980610129,36.5736599914777
515197.697100426,4047672.98050139,27.1698644374052,36.5743881333872
515351.071143148,4047734.26183844,27.171579912121,36.5749381318997
515456.819857077,4047698.05013928,27.1727611402717,36.5746099751725
515763.707606241,4047870.75208914,27.1761947524975,36.5761618686798
515758.671953197,4048062.95264624,27.1761424035841,36.5778946455591
516063.449228358,4048477.99442897,27.1795576976748,36.5816311748361
516065.140711199,4049085.2367688,27.1795892854962,36.5871054462203
515553.505947347,4049408.35654596,27.1738763716493,36.5900268552062
515244.31374679,4049408.35654596,27.1704198519003,36.5900318473155
